country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Guatemala,,,,,,,,,,,,,,,,,,,,0.865,,,,,,,,0.908,,,,,,,0.95,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.575,,,,,,0.791,
Guinea-Bissau,,,,,0.298,,,,,,,,,,,,,,,,,,,,,0.614,,,,,,,,,0.813,
Haiti,,,,,,,,0.996,,,,,,,,,,,,,,,,,,,,,,1.15,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,,,,,,1.03,,,
Hungary,,,,,,0.999,,,,,,,,,,,,,,1,,,,,,,,,,1.01,,,,,1,
India,,,,,,,0.608,,,,,,,,,,0.671,,,,,,,,,,0.805,,,,,0.841,,,,
Indonesia,,,,,,0.911,,,,,,,,,,0.976,,,,,,,,,,,,,,0.997,,0.992,,0.998,,
Iran,,0.597,,,,,,,,,,0.776,,,,,0.878,,,,,0.843,,,,,,,,,0.986,0.99,,0.997,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,0.905,,,,,,,,,0.947,
Israel,,,,,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,1.07,
Jordan,,,,,0.886,,,,,,,,,,,,,,,,,,,,,,,,0.996,,1,,1,,,
Kazakhstan,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,1.02,
Kuwait,0.85,,,,,0.935,,,,,0.927,,,,,,,,,,0.962,,,,,,,,,,1,1,1,1,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,
Lao,,,,,,,,,,,,,,,,,,,,,0.813,,,,,0.835,0.904,,,,0.883,,,,,
Latvia,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,,,,,,,,,1.14,
Liberia,,,,,,,,,,0.537,,,,,,,,,,0.829,,,,,,,,,,1.07,,,,,1.15,
Libya,,,,,,,,,,0.821,,,,,,,,,,0.969,,,,,,,,,,0.996,,,,,0.999,
Lithuania,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,0.938,,,,,,,,0.97,,
Malawi,,,,,,,,,,,,,0.697,,,,,,,,,,,0.861,,,,,,,,,,,0.99,
Malaysia,,,,,,0.967,,,,,,,,,,,0.993,,,,,,,,,1,,,,,,,,,1,
Maldives,,,1.04,,,,,,,,1.01,,,,,1,,,,,1,,,,,1,,,,,,1,,,,
Mali,,0.505,,,,,,,,,,,,,,,,,,,,,,0.523,,,,,0.486,,,0.65,,,,
Malta,,,,,,,,,,,1.02,,,,,,,,,,1.04,,,,,,,,,,1.02,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,0.819,,,,,,,,,0.908,
Mauritius,,,,,,,,,,,,,,,,1.01,,,,,,,,,,1.02,,,,,,,,,1.02,
Mexico,,,,,,0.976,,,,,,,,,,0.989,,,,,,,,,,0.997,,0.993,,1,1,0.996,0.999,1,0.997,
Moldova,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,1.03,
Morocco,,,,,,,,0.533,,,,,,,,,,,,0.644,,,,,,,,,,0.749,,,,0.815,0.832,
Mozambique,,,,,,0.393,,,,,,,,,,,,,,,,,0.615,,,,,,0.673,,,,,,0.815,
Myanmar,,,,,,,,,0.918,,,,,,,,,,,,,,,,,0.976,,,,,,,,,0.992,
Namibia,,,,,,,,,,,,,,,,,1.06,,,,,,,,,,1.03,,,,,,,,1.04,
Nepal,,,,,,,0.332,,,,,,,,,,0.479,,,,,,,,,,0.746,,,,,,,,0.883,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,,,1.04,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,0.442,,,,,
Nigeria,,,,,,,,,,,,,,,,,0.768,,,,,,,,,,,,0.775,,,,,,0.836,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
North Macedonia,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,0.995,,,,,,,0.996,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.988,,,,,1,,
Pakistan,,,,,,,0.535,,,,,,,,,,,,,,,,,0.642,,,,,,,0.693,0.738,,0.771,,
Palau,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0.998,,1,0.998,0.998,1,
Panama,,,,,,1,,,,,,,,,,0.993,,,,,,,,,,0.991,,,,,,,,,0.996,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,0.927,,,,,,,,,1.09,
Paraguay,,,,,,,,0.987,,,,,,,,,,0.995,,,,,,,,,,,,,,,1,,,
Peru,,,,,,,0.93,,,,,,,,,,,,0.967,,,,,,,,,,,0.978,0.983,0.984,0.987,,,
Philippines,,,,,,1.02,,,,,,,,,,1.01,,,,,,,,,,1.01,,,1.03,,,,,1.02,,
Poland,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,
Portugal,,,,,,,1.01,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,
Qatar,,,,,,,,,,,,1.03,,,,,,,,,,,1.02,,,,,,,1.03,,,0.999,1.02,1,
Romania,,,,,,,,,,,,,,,,,,0.998,,,,,,,,,,1,,,,,,,1,
Russia,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,
Rwanda,,,,0.749,,,,,,,,,,,,,1,,,,,,,,,0.979,,,,,,,,,1.01,
Samoa,,,,,,,,,,,,,,,,,0.998,,,,,,,,,,,,,1,,,,,1,
Sao Tome and Principe,,,,,,,0.815,,,,,,,,,,0.959,,,,,,,,,,0.988,,,,,,,,1.01,
Saudi Arabia,,,,,,,,,,,,,,,,,,0.863,,,,,,,,0.955,,,,0.977,,,,,0.978,
Senegal,,,,,,,,,,,,,,0.571,,,,,,,,,,,,,,0.7,,,,0.766,,,0.757,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,
Seychelles,,,,,,,,,,,,,1.02,,,,,,,1.01,,,,,,,,1.01,,,,,,1.01,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.627,,,,,0.71,
Singapore,,,,,,0.997,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,
Slovenia,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,0.889,,,,,,,,,,,
South Africa,,,,,,0.996,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,1.01,,,
Spain,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,0.999,
Sri Lanka,,,,,,,0.982,,,,,,,,,,,,,,,,,,,,1.01,,,,,1.01,,1.01,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.985,,,,1,,
Syria,,,,,,,0.664,,,,,,,,,,,,,,,,,,,,,0.957,,0.954,,,,,0.971,
Tajikistan,,,,,,,,,,,,,,,0.999,,,,,,,,,,,1,,,,,,,,,1,
Tanzania,,,,,,,,,,,,,,0.903,,,,,,,,,,,,,,0.942,,,,,,,0.973,
Thailand,,,,,,0.986,,,,,,,,,,,,,,,,,,,,0.997,,,,,0.997,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,,,,,0.8,,,,
Tonga,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,
Trinidad and Tobago,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,
Tunisia,,,,,,,,,,0.729,,,,,,,,,,,,,,,,,,,,0.957,,,,0.976,,
Turkey,0.752,,,,,0.804,,,,,0.898,,,,,0.915,,,,,,,,,,,,,,0.952,0.955,0.957,0.956,,0.975,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,
Uganda,,,,,,,,,,,,,,,,,0.817,,,,,,,,,,,0.886,,,,,,,,0.953
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,
United Arab Emirates,0.859,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,1.04,,,,,
Uruguay,1.01,,,,,,,,,,1.01,,,,,,,,,,,1.01,,,,,,,,,,1.01,1.01,1.01,1.02,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,1,
Vanuatu,,,,,0.893,,,,,,,,,,,,,,,0.975,,,,,,,,,,0.997,,,,,1,
Venezuela,,,,,,,1.02,,,,,,,,,1.02,,,,,,,,,,,1.02,,,,,,1.01,,,
Vietnam,,,,,0.978,,,,,,,,,,0.993,,,,,,,,,,0.994,0.984,,,,,,,,,0.991,
Yemen,,,,,,,,,,,,,,,,,,,,0.427,,,,,,,,,,0.653,,,,,0.755,
Zambia,,,,,,,,,,,,,,,,0.974,,,,,,,,,0.912,,,0.853,,,,,,,0.823,
Zimbabwe,,,,,,,,0.904,,,,,,,,,,0.977,,,,,,,,,,,,,,,,,1.01,
